NOM_ENT,NOM_MUN,POB_TOT,ANALF,SBASC,OVSDE,OVSEE,OVSAE,VHAC,OVPT,PL.5000,PO2SM,IM_2020
Coahuila de Zaragoza,Jiménez, 9 502,3.063743284,50.0386583,1.22068744,1.263518578,1.10290181,18.43554878,1.274226363,100,93.67985824,55.36239015
Coahuila de Zaragoza,Juárez, 1 584,2.867072111,41.20114082,1.201011378,0.442477876,1.011378003,16.49484444,0.442477876,100,77.00170358,56.63616857
Coahuila de Zaragoza,Lamadrid, 1 764,3.115727003,34.37268003,0.396825397,0.340136054,0.113378685,13.92405033,0,100,73.29650092,57.28534511
Coahuila de Zaragoza,Matamoros, 118 337,3.099692823,30.3173233,0.788391613,0.108743671,0.865701567,17.75638008,1.41536684,41.71307368,69.96286272,58.13948694
Coahuila de Zaragoza,Monclova, 237 951,1.185580986,18.5200822,0.109535024,0.178201304,0.562420218,13.32606697,0.414560162,0.32863909,51.69378095,60.43583277
Coahuila de Zaragoza,Morelos, 7 928,1.70109356,27.79031418,0.330242601,0.203226216,0.419154071,15.26586628,0.444557348,15.23713421,60.44515103,59.42638463
Coahuila de Zaragoza,Múzquiz, 71 627,2.507622547,29.71712448,0.446579989,0.401356699,0.503109101,17.69894218,0.589315998,10.18470688,68.04176216,58.86399739
Coahuila de Zaragoza,Nadadores, 6 539,2.313781206,25.13454234,0.581217498,0.152951973,0.382379933,15.10390282,0.244723157,100,69.79071884,57.71195217
Coahuila de Zaragoza,Nava, 33 129,1.764405046,26.0863242,0.360540508,0.263548514,0.402957038,15.75459576,0.796897252,2.764949138,78.77331282,58.91452862
Coahuila de Zaragoza,Ocampo, 9 642,3.882078225,38.88199399,1.06248685,3.702924469,4.765411319,18.1749897,1.314958973,100,81.46139119,55.08703064
Coahuila de Zaragoza,Parras, 44 472,3.53480925,26.52827047,2.372122473,0.280403419,3.258559088,17.0841217,1.494731129,21.75301313,74.96524495,57.90680408
Coahuila de Zaragoza,Piedras Negras, 176 327,1.422786387,22.82616439,0.106025698,0.157605768,0.354183144,15.65785885,0.51984525,1.342959388,76.82909684,59.23180025
Coahuila de Zaragoza,Progreso, 3 239,3.358843537,42.94774457,0.97668557,0.031505986,0.97668557,17.40020561,0.535601764,100,82.09109731,56.42301339
Coahuila de Zaragoza,Ramos Arizpe, 122 243,1.68345176,17.99654041,0.221903902,0.194579914,0.813923642,12.94850922,0.585410284,6.734945968,55.03810171,60.12402616
Coahuila de Zaragoza,Sabinas, 64 811,1.624202494,23.94107055,0.122102009,0.13755796,0.482225657,12.77618122,0.502341685,8.663652775,62.88463921,59.71018411
Coahuila de Zaragoza,Sacramento, 2 471,3.412217942,28.83874518,0.607041684,0.040469446,0.080938891,18.75862122,0.121408337,100,68.43291995,57.40246365
Coahuila de Zaragoza,Saltillo, 879 958,1.258067164,16.41003635,0.12395357,0.084956813,0.851759147,11.88346672,0.533152795,1.764516034,47.02460442,60.69650462
Coahuila de Zaragoza,San Buenaventura, 24 759,1.491968418,20.80928003,0.259046385,0.311665183,0.319760382,13.08632278,0.263136588,5.436406963,60.16342064,59.92038893
Coahuila de Zaragoza,San Juan de Sabinas, 42 260,1.499029855,25.67706399,0.227461201,0.130316313,0.326975477,13.0404892,0.540220353,7.576904875,61.98193228,59.7170165
Coahuila de Zaragoza,San Pedro, 101 041,3.636640503,32.97017996,1.165538193,0.227349443,6.140420547,18.31123924,1.45448408,43.13001653,80.52539985,57.01854299
Coahuila de Zaragoza,Sierra Mojada, 6 744,2.370872142,27.56726742,0.737213946,0.67577945,1.320841653,22.91231728,0.906158808,100,46.29706247,57.86365249
Coahuila de Zaragoza,Torreón, 720 848,1.242491429,19.25461696,0.106708104,0.04756425,0.18984093,9.894757271,0.913159202,4.252630236,59.57276016,60.24744156
Coahuila de Zaragoza,Viesca, 20 305,4.674698795,41.70533106,3.073556473,0.218829263,9.832396678,21.48760414,2.109242861,100,84.9905303,54.81806247
Coahuila de Zaragoza,Villa Unión, 6 188,2.832540222,32.13100245,1.036437247,0.469635628,0.825910931,18.43698311,0.274902975,12.03943116,75.92997812,58.29675036
Coahuila de Zaragoza,Zaragoza, 13 135,2.98079983,36.20744847,0.633636155,1.343203846,0.427513551,14.61210155,1.045881365,15.11229539,85.74497169,57.72728494
Colima,Armería, 27 626,7.147050191,46.37185138,0.750701505,0.451878576,1.392077548,22.31728172,5.145210072,44.37124448,74.27506885,56.36501769
Colima,Colima, 157 048,2.385067965,23.71814451,0.176788281,0.327673518,0.483091787,11.65731144,1.616580311,6.42033009,58.77387089,59.73019399
Colima,Comala, 21 661,3.225611962,35.71809958,0.909218072,0.769338369,0.629458666,20.5821209,3.89798107,55.45450349,74.29423459,57.12160354
Colima,Coquimatlán, 20 837,5.905136834,38.62551227,0.409263807,0.943941437,1.145938659,19.79571915,4.627088449,28.53097855,74.24496644,57.08425531
Colima,Cuauhtémoc, 31 267,3.786117569,34.61998052,0.868558193,0.225181754,1.203113942,15.68690777,1.62452551,37.0678351,67.04353572,58.12915375
Colima,Ixtlahuacán, 5 623,7.124798897,43.34635716,1.305903399,0.948121646,1.932021467,18.90781021,7.334525939,100,83.40458609,54.98814818
Colima,Manzanillo, 191 031,2.437615688,25.49602085,0.186042099,0.220826174,0.483814864,16.00416756,1.699382234,11.26204647,50.69412662,59.7137545
Colima,Minatitlán, 10 231,5.210612691,34.06999776,1.061929337,1.240571655,2.223104407,19.83932877,3.949980151,40.62164011,62.5,57.33959136
Colima,Tecomán, 116 305,7.363070246,41.59974527,0.246629398,0.414510462,1.247858218,22.90766335,6.338917927,11.40621641,69.56369209,57.15446728
Colima,Villa de Álvarez, 149 762,1.318631746,16.65534475,0.06906031,0.160245665,0.158904697,10.2281332,0.978965649,1.5130674,55.30021634,60.47110026
Chiapas,Acacoyagua, 17 994,10.76210526,51.75932824,3.281788853,1.707642674,6.608076538,37.96779251,4.071643119,55.02945426,89.11118399,53.249921
Chiapas,Acala, 21 187,15.88386573,50.66666667,2.065274028,1.056321349,3.415281133,45.66302872,6.318980626,29.1971492,85.02401397,53.2600373
Chiapas,Acapetahua, 26 899,13.73326985,50.58207218,2.881488956,0.811002728,16.664798,29.85881996,8.162350039,76.77608833,88.60853041,52.10919274
Chiapas,Altamirano, 36 160,22.99368402,62.95200495,1.93581398,3.607265698,16.00102334,34.88132095,7.584070042,70.63606195,92.02898551,49.74325225
Chiapas,Amatán, 24 512,17.08436962,52.22271829,1.314496314,4.594594595,11.11384111,45.82743835,25.74119574,100,96.06217617,48.71850694
Chiapas,Amatenango de la Frontera, 31 735,15.36749384,58.54145522,1.309478733,1.173945973,3.231507195,33.8443222,7.241575161,100,94.56624357,52.18879583
Chiapas,Amatenango del Valle, 11 283,26.49478881,75.01371366,12.80936752,1.543511044,27.5170762,49.04259491,19.33824182,47.53168484,97.18664227,45.9411788
Chiapas,Ángel Albino Corzo, 31 947,17.61139312,56.0370353,2.444114206,1.837037974,2.137414235,40.82848358,15.49745503,62.82906063,93.65950601,51.50637789
Chiapas,Arriaga, 41 135,8.386018934,41.96771749,1.867336242,0.945857,13.50284001,27.29041672,3.181297384,38.33475143,86.84558359,54.53850711
Chiapas,Bejucal de Ocampo, 7 365,10.80911562,60.03764115,0.366797989,0.3803831,41.43458769,34.67432785,6.507268034,100,96.50859823,49.73513908
Chiapas,Bella Vista, 20 157,10.10040462,57.43931675,1.33081736,1.564206972,17.52904956,29.23860168,11.58009733,100,95.8061117,51.46906214
Chiapas,Berriozábal, 64 632,10.00407037,46.23492185,2.781785742,1.019315802,16.99790552,35.77522278,9.809944923,32.79180592,80.81886251,53.25798376
Chiapas,Bochil, 37 263,13.95965043,48.64952815,1.271938761,0.686905143,9.389644032,43.11384964,17.23666211,61.89249389,89.13285158,51.98165349
Chiapas,El Bosque, 24 273,22.56431031,64.76743401,0.879365866,2.537861594,0.631657171,45.78791046,18.6810918,75.96918387,94.61630491,50.0535687
Chiapas,Cacahoatán, 50 112,9.894371292,39.58897485,0.926390086,0.950452167,2.093400975,36.75572968,7.579555253,61.86941252,82.73972603,54.5341977
Chiapas,Catazajá, 17 619,12.92825319,47.87312096,5.428489539,1.96044712,3.175695042,34.81357193,9.39524219,100,89.96809642,52.08903357
Chiapas,Cintalapa, 88 106,10.04668384,44.07532683,3.242013352,1.583470005,7.424175926,32.96672821,8.536416345,44.15703811,86.69691989,53.73904568
Chiapas,Coapilla, 9 900,14.84315226,52.97628156,2.650822669,0.680479382,1.076579322,37.92962265,11.62908795,100,90.90346535,52.22432392
Chiapas,Comitán de Domínguez, 166 178,9.108713665,44.35065921,0.560791763,0.537803535,13.02827552,23.32287788,6.483150826,31.7123807,82.52583302,54.92749257
Chiapas,La Concordia, 49 920,17.47822529,55.9971943,4.832870761,2.72112948,8.038695145,41.92121887,12.82958911,83.19511218,93.23907605,50.3044301
Chiapas,Copainalá, 22 192,10.69701464,44.43153206,3.156657019,1.469790159,4.088277858,39.63606262,10.70911722,67.89383562,86.46158419,53.13777854
Chiapas,Chalchihuitán, 21 915,29.17189986,81.15685505,15.47918285,11.55797267,48.64037293,63.17321777,39.06585622,100,98.30444612,37.76617897
Chiapas,Chamula, 101 967,32.58736669,86.14219739,1.850796147,0.852172204,17.76882249,49.7036171,18.6923145,100,98.61271676,46.28714752
Chiapas,Chanal, 13 678,22.38446272,59.33956916,2.893017108,2.577281739,34.39312725,63.20366287,25.97106983,30.30413803,97.77562863,46.39716417
Chiapas,Chapultenango, 7 472,14.75442434,40.82118253,1.072932229,2.770609806,7.157408665,27.25159836,20.99687627,100,94.11764706,51.46368194
Chiapas,Chenalhó, 47 371,27.60582531,80.15293283,3.628127514,2.550696414,18.8730367,50.77408981,32.96219466,100,97.94456845,45.38857393
Chiapas,Chiapa de Corzo, 112 075,9.106157139,37.20513355,1.024166742,0.627077531,7.110771719,33.03281021,6.112658342,42.96408655,80.87294785,54.99622866
Chiapas,Chiapilla, 6 156,21.87638951,58.13694976,0.812479688,0.64998375,1.267468313,46.40000153,2.941176471,100,88.51447556,51.62437258
Chiapas,Chicoasén, 5 402,11.49425287,46.43381544,1.818856719,0.315515961,6.644394952,40.14945602,7.628062361,100,73.59938603,53.37033106
Chiapas,Chicomuselo, 36 785,16.18433852,60.61023285,3.124146595,1.993555082,8.848107488,37.93732071,16.10410181,80.74486883,94.53462269,50.64440202
Chiapas,Chilón, 137 262,26.64941141,60.49375636,10.54390429,6.057681058,13.67877618,57.22545624,24.75576226,88.59188996,96.06397061,45.21489176
Chiapas,Escuintla, 30 896,11.97981145,48.12867935,2.512644274,2.256516665,9.155751524,37.03138733,8.223353546,65.61367167,88.63679877,52.54115463
Chiapas,Francisco León, 7 245,19.95758218,55.71580064,2.674241375,1.441041984,2.175419149,44.30379868,22.04517112,100,97.90874525,49.933239
Chiapas,Frontera Comalapa, 80 897,10.9695211,54.24792243,1.160800655,1.160800655,8.190093509,29.36642075,8.347183291,73.14239094,88.84627031,53.26983023
Chiapas,Frontera Hidalgo, 14 556,12.8415574,42.63837454,3.309512246,1.29050163,9.019635052,35.2893219,9.317976826,100,86.53093187,52.29211166
Chiapas,La Grandeza, 7 701,8.924907673,48.66639311,0.533576262,0.3774076,19.88547631,38.0859375,7.027589797,100,94.07684098,52.01926002
Chiapas,Huehuetán, 36 333,12.44155237,42.53681822,3.725544227,1.209699642,16.41499036,36.19117355,9.597685313,57.9005312,80.99632439,52.50982192
Chiapas,Huixtán, 22 975,18.27109267,63.14880088,0.738442716,2.866381194,22.45914533,39.4857254,20.0812866,100,96.02571596,48.49085388
Chiapas,Huitiupán, 27 893,21.75839155,58.97086386,1.70203598,1.105964308,5.292829186,50.39068604,28.35290316,100,96.99973212,48.88022288
Chiapas,Huixtla, 53 242,8.891813635,41.3974696,1.272148157,1.216837367,7.579485419,33.14358139,9.239482818,39.69234815,82.89844011,54.44760805
Chiapas,La Independencia, 46 409,12.57641108,69.42706576,1.16374471,0.593747301,7.293375939,35.3254509,8.359962,75.52198927,96.65725651,52.24856362
Chiapas,Ixhuatán, 11 377,13.87154945,48.63633576,1.008849558,0.619469027,0.203539823,35.04798508,9.008849558,100,95.24253731,52.906899
Chiapas,Ixtacomitán, 10 961,10.22712001,37.59657981,0.942360476,3.485818847,4.29094236,38.38307571,10.08234218,51.56463826,87.49674394,53.4250481
Chiapas,Ixtapa, 28 999,13.44598424,53.73757148,3.091141957,0.851535186,2.499221157,48.74715424,15.60455537,77.65095348,94.62231595,51.61188928
Chiapas,Ixtapangajoya, 6 284,13.31797235,53.39032761,1.930251419,3.179237632,3.633414436,43.58638763,14.85806975,100,94.01168452,51.0162035
Chiapas,Jiquipilas, 41 063,10.49796748,46.58736774,2.719726563,1.242675781,7.707519531,29.44577789,9.240722656,71.76046563,87.38901221,53.39129715
Chiapas,Jitotol, 24 966,15.82723692,47.64685192,0.602511165,0.821606135,1.339850004,45.69664383,9.644392011,77.64960346,92.8147939,52.47827533
Chiapas,Juárez, 21 807,10.32328697,44.36501803,1.847936012,0.473476142,12.72869357,29.5335083,6.307176022,64.19039758,87.13525945,53.67536264
Chiapas,Larráinzar, 31 259,17.35343971,62.9047577,0.751200954,0.973659606,5.538898024,59.554142,6.12830432,100,97.50537634,50.46818573
Chiapas,La Libertad, 5 232,12.02872531,44.93459862,3.145377829,1.380897583,13.23360184,28.02024078,1.956271577,100,90.34064396,52.65206191
Chiapas,Mapastepec, 46 130,11.94437547,52.94824192,1.692003219,1.220069159,12.4138231,30.00392532,7.059591127,58.2245827,88.51129792,53.04295156
Chiapas,Las Margaritas, 141 027,18.79238293,64.07587116,0.995316583,2.782422387,21.77151419,39.27536392,14.75854781,82.75082076,95.81515022,49.08917498
Chiapas,Mazapa de Madero, 7 901,8.147861428,59.39891318,0.785804816,1.064638783,9.911280101,36.26698303,8.75792142,100,92.21530249,52.50547968
Chiapas,Mazatán, 28 250,11.44816539,45.08684988,4.256381007,0.680878369,12.16669043,35.30316544,11.04734065,72.48141593,91.20899205,52.34023452
Chiapas,Metapa, 5 876,8.276863504,35.89060987,1.879958606,1.0348396,8.916867885,29.35131645,9.072093825,100,85.20625889,53.67642301
Chiapas,Mitontic, 13 755,36.6442953,79.47926453,1.359594326,0.565885206,24.50209451,41.47601318,25.40604101,100,96.61999034,45.53018294
Chiapas,Motozintla, 76 398,10.52326743,54.68082015,0.846577539,0.754558242,7.105204349,42.11352539,10.94006757,63.59197885,88.04640563,52.96356619
Chiapas,Nicolás Ruíz, 4 765,14.24465027,61.13062919,0.719729043,0.402201524,0.613886537,56.8816185,8.933107536,100,97.58490566,51.44496315
Chiapas,Ocosingo, 234 661,21.91583936,56.95267569,5.175295045,6.857541174,11.68374614,49.23811722,29.42426919,69.75637196,93.26403405,47.02333931
Chiapas,Ocotepec, 14 088,27.96683579,64.86820938,3.273299028,0.886220698,4.666952544,58.581707,21.7838765,62.16638274,89.38006801,48.75752321
Chiapas,Ocozocoautla de Espinosa, 97 397,10.31269383,51.16748385,1.91966313,2.141559675,7.198736738,39.70920944,12.87955413,55.59719499,86.68066883,52.74875771
Chiapas,Ostuacán, 18 469,12.582021,47.33576398,3.062388011,2.720312755,7.688548624,37.3574791,10.59890319,100,90.97364684,51.6081156
Chiapas,Osumacinta, 3 983,7.422303473,40.21937843,1.435768262,0.302267003,0.453400504,39.69171524,4.332493703,100,83.46645367,54.52318441
Chiapas,Oxchuc, 54 932,15.98995262,52.8706489,4.343618769,10.43819609,70.05112288,53.72809219,41.19773599,81.14760067,95.98563448,40.79347346
Chiapas,Palenque, 132 265,14.17323723,44.85081039,4.976924131,1.734825984,5.350859824,40.34627533,6.577564542,60.83846823,86.12537864,52.63328368
Chiapas,Pantelhó, 26 391,36.02382823,74.8395967,6.485084306,2.975622783,10.78812848,60.89612961,21.82040131,67.30324732,97.52645321,45.45270834
Chiapas,Pantepec, 12 266,22.44461229,52.82638801,2.432610125,0.632807364,0.986193294,50.27303696,24.12886259,100,96.07899256,49.68370825
Chiapas,Pichucalco, 31 919,11.20964571,40,1.922774334,1.069956258,8.219781603,34.82923508,6.967303396,52.24161158,86.267336,53.82804941
Chiapas,Pijijiapan, 51 193,12.32192566,49.67533896,2.710595429,0.836893889,22.50401787,30.1014576,5.977579178,64.41114996,88.27952234,52.17525376
Chiapas,El Porvenir, 12 263,8.845366103,45.36610343,0.139138975,0.646587003,6.539531838,38.14303589,10.55819283,100,95.75334497,52.94443033
Chiapas,Villa Comaltitlán, 30 297,12.25335531,49.50157312,3.132114522,1.155570887,13.32183512,38.22605896,8.930665747,72.86199954,88.10367332,52.13043186
Chiapas,Pueblo Nuevo Solistahuacán, 29 636,19.54477981,58.21469796,1.734676456,0.915144272,5.046952365,52.44765854,22.14102783,56.79241463,94.53480807,50.35399073
Chiapas,Rayón, 10 866,15.99716111,45.52164656,1.713263673,1.477925257,14.76042549,46.21149063,14.52508708,36.86729247,91.14555964,51.43364405
Chiapas,Reforma, 44 829,6.540659912,35.68676669,1.088268156,0.368715084,3.568715084,31.66573334,5.611173184,35.26957996,73.35761407,56.24273827
Chiapas,Las Rosas, 28 829,21.42533138,64.62344994,1.515678231,1.122853369,20.55899326,34.59459305,21.29523412,26.483749,93.10874364,50.01866719
Chiapas,Sabanilla, 29 889,20.23667411,53.15404185,0.693629997,1.956907818,12.79026907,50.71628952,22.91994773,100,95.31125526,48.89538404
